match_id,group,home_team,away_team,date,time,venue,stage,home_score,away_score,status
1,A,México,África do Sul,2026-06-11,15:00,Estádio da Cidade do México (Cidade do México),Group Stage,2.0,0.0,Completed
2,A,República da Coreia,Tchéquia,2026-06-11,15:00,Estádio de Guadalajara (Guadalajara),Group Stage,2.0,1.0,Completed
3,A,México,República da Coreia,2026-06-18,15:00,Estádio de Guadalajara (Guadalajara),Group Stage,1.0,0.0,Completed
4,A,Tchéquia,África do Sul,2026-06-18,15:00,Estádio de Atlanta (Atlanta),Group Stage,1.0,1.0,Completed
5,A,África do Sul,República da Coreia,2026-06-24,22:00,Estádio de Monterrey (Monterrey),Group Stage,1.0,0.0,Completed
6,A,Tchéquia,México,2026-06-24,22:00,Estádio da Cidade do México (Cidade do México),Group Stage,0.0,3.0,Completed
7,B,Suíça,Bósnia e Herzegovina,2026-06-18,15:00,Estádio de Los Angeles (Los Angeles),Group Stage,4.0,1.0,Completed
8,B,Canadá,Catar,2026-06-18,15:00,BC Place de Vancouver (Vancouver),Group Stage,6.0,0.0,Completed
9,B,Suíça,Canadá,2026-06-24,16:00,BC Place de Vancouver (Vancouver),Group Stage,2.0,1.0,Completed
10,B,Bósnia e Herzegovina,Catar,2026-06-24,16:00,Estádio de Seattle (Seattle),Group Stage,3.0,1.0,Completed
11,B,Canadá,Bósnia e Herzegovina,2026-06-12,15:00,Estádio de Toronto (Toronto),Group Stage,1.0,1.0,Completed
12,B,Catar,Suíça,2026-06-13,15:00,Estádio da Baía de São Francisco (Área da baía de São Francisco),Group Stage,1.0,1.0,Completed
13,C,Haiti,Escócia,2026-06-13,15:00,Estádio de Boston (Boston),Group Stage,0.0,1.0,Completed
14,C,Brasil,Marrocos,2026-06-13,15:00,Estádio de Nova York/Nova Jersey (Nova Jersey),Group Stage,1.0,1.0,Completed
15,C,Escócia,Marrocos,2026-06-19,15:00,Estádio de Boston (Boston),Group Stage,0.0,1.0,Completed
16,C,Brasil,Haiti,2026-06-19,15:00,Estádio de Filadélfia (Filadélfia),Group Stage,3.0,0.0,Completed
17,C,Marrocos,Haiti,2026-06-24,19:00,Estádio de Atlanta (Atlanta),Group Stage,4.0,2.0,Completed
18,C,Escócia,Brasil,2026-06-24,19:00,Estádio de Miami (Miami),Group Stage,0.0,3.0,Completed
19,D,EUA,Paraguai,2026-06-12,15:00,Estádio de Los Angeles (Los Angeles),Group Stage,4.0,1.0,Completed
20,D,Austrália,Turquia,2026-06-14,15:00,BC Place de Vancouver (Vancouver),Group Stage,2.0,0.0,Completed
21,D,EUA,Austrália,2026-06-19,15:00,Estádio de Seattle (Seattle),Group Stage,2.0,0.0,Completed
22,D,Turquia,Paraguai,2026-06-20,15:00,Estádio da Baía de São Francisco (Área da baía de São Francisco),Group Stage,0.0,1.0,Completed
23,D,Paraguai,Austrália,2026-06-25,23:00,Estádio da Baía de São Francisco (Área da baía de São Francisco),Group Stage,0.0,0.0,Completed
24,D,Turquia,EUA,2026-06-25,23:00,Estádio de Los Angeles (Los Angeles),Group Stage,3.0,2.0,Completed
25,E,Alemanha,Curaçau,2026-06-14,15:00,Estádio de Houston (Houston),Group Stage,7.0,1.0,Completed
26,E,Costa do Marfim,Equador,2026-06-14,15:00,Estádio de Filadélfia (Filadélfia),Group Stage,1.0,0.0,Completed
27,E,Alemanha,Costa do Marfim,2026-06-20,15:00,Estádio de Toronto (Toronto),Group Stage,2.0,1.0,Completed
28,E,Equador,Curaçau,2026-06-20,15:00,Estádio de Kansas City (Kansas City),Group Stage,0.0,0.0,Completed
29,E,Curaçau,Costa do Marfim,2026-06-25,17:00,Estádio de Filadélfia (Filadélfia),Group Stage,0.0,2.0,Completed
30,E,Equador,Alemanha,2026-06-25,17:00,Estádio de Nova York/Nova Jersey (Nova Jersey),Group Stage,2.0,1.0,Completed
31,F,Suécia,Tunísia,2026-06-14,15:00,Estádio de Monterrey (Monterrey),Group Stage,5.0,1.0,Completed
32,F,Holanda,Japão,2026-06-14,15:00,Estádio de Dallas (Dallas),Group Stage,2.0,2.0,Completed
33,F,Japão,Suécia,2026-06-25,20:00,Estádio de Dallas (Dallas),Group Stage,1.0,1.0,Completed
34,F,Tunísia,Holanda,2026-06-25,20:00,Estádio de Kansas City (Kansas City),Group Stage,1.0,3.0,Completed
35,F,Tunísia,Japão,2026-06-21,15:00,Estádio de Monterrey (Monterrey),Group Stage,0.0,4.0,Completed
36,F,Holanda,Suécia,2026-06-20,15:00,Estádio de Houston (Houston),Group Stage,5.0,1.0,Completed
37,G,Nova Zelândia,Egito,2026-06-21,15:00,BC Place de Vancouver (Vancouver),Group Stage,1.0,3.0,Completed
38,G,Bélgica,RI do Irã,2026-06-21,15:00,Estádio de Los Angeles (Los Angeles),Group Stage,0.0,0.0,Completed
39,G,RI do Irã,Nova Zelândia,2026-06-15,15:00,Estádio de Los Angeles (Los Angeles),Group Stage,2.0,2.0,Completed
40,G,Bélgica,Egito,2026-06-15,15:00,Estádio de Seattle (Seattle),Group Stage,1.0,1.0,Completed
41,G,Egito,RI do Irã,2026-06-27,00:00,Estádio de Seattle (Seattle),Group Stage,1.0,1.0,Completed
42,G,Nova Zelândia,Bélgica,2026-06-27,00:00,BC Place de Vancouver (Vancouver),Group Stage,1.0,5.0,Completed
43,H,Uruguai,Cabo Verde,2026-06-21,15:00,Estádio de Miami (Miami),Group Stage,2.0,2.0,Completed
44,H,Espanha,Arábia Saudita,2026-06-21,15:00,Estádio de Atlanta (Atlanta),Group Stage,4.0,0.0,Completed
45,H,Arábia Saudita,Uruguai,2026-06-15,15:00,Estádio de Miami (Miami),Group Stage,1.0,1.0,Completed
46,H,Espanha,Cabo Verde,2026-06-15,15:00,Estádio de Atlanta (Atlanta),Group Stage,0.0,0.0,Completed
47,H,Cabo Verde,Arábia Saudita,2026-06-26,21:00,Estádio de Houston (Houston),Group Stage,0.0,0.0,Completed
48,H,Uruguai,Espanha,2026-06-26,21:00,Estádio de Guadalajara (Guadalajara),Group Stage,0.0,1.0,Completed
49,I,Iraque,Noruega,2026-06-16,15:00,Estádio de Boston (Boston),Group Stage,1.0,4.0,Completed
50,I,França,Senegal,2026-06-16,15:00,Estádio de Nova York/Nova Jersey (Nova Jersey),Group Stage,3.0,1.0,Completed
51,I,Noruega,França,2026-06-26,16:00,Estádio de Boston (Boston),Group Stage,1.0,4.0,Completed
52,I,Senegal,Iraque,2026-06-26,16:00,Estádio de Toronto (Toronto),Group Stage,5.0,0.0,Completed
53,I,França,Iraque,2026-06-22,15:00,Estádio de Filadélfia (Filadélfia),Group Stage,3.0,0.0,Completed
54,I,Noruega,Senegal,2026-06-22,15:00,Estádio de Nova York/Nova Jersey (Nova Jersey),Group Stage,3.0,2.0,Completed
55,J,Argentina,Argélia,2026-06-16,15:00,Estádio de Kansas City (Kansas City),Group Stage,3.0,0.0,Completed
56,J,Áustria,Jordânia,2026-06-17,15:00,Estádio da Baía de São Francisco (Área da baía de São Francisco),Group Stage,3.0,1.0,Completed
57,J,Argentina,Áustria,2026-06-22,15:00,Estádio de Dallas (Dallas),Group Stage,2.0,0.0,Completed
58,J,Jordânia,Argélia,2026-06-23,15:00,Estádio da Baía de São Francisco (Área da baía de São Francisco),Group Stage,1.0,2.0,Completed
